district,Total PS Others,Amt Other PS,No Other PS,able Renew- Amt,able No Renew-,Social Amt Infra,No Infra Social,Amt Housing PS,PS No Housing,PS Amt Education,PS No Education,Amt Export,No Export
East Garo Hills,605.43,0,0,0,0,23.49,7,477.43,96,104.51,36,0,0
East Jaintia Hills,1574.27,876.27,41,0,0,11.53,4,589.12,72,97.35,36,0,0
East Khasi Hills,40197.19,4273.49,12518,331.36,77,223.49,45,27927.38,4933,7441.41,3502,0.06,1
North Garo Hills,863.49,0.71,2,0,0,25.98,11,795.85,156,40.95,9,0,0
Ri Bhoi,7034.76,265.13,35,1.42,7,65.85,15,5898.45,610,803.91,284,0,0
South Garo Hills,439.21,0,0,0,0,26.1,13,391.03,73,22.08,4,0,0
South West Garo Hills,342.75,3.22,3,0,0,11.73,7,325.98,46,1.82,2,0,0
South West Khasi Hills,455.23,164.01,26,0,0,21.26,8,136.11,38,133.85,70,0,0
West Garo Hills,6815.09,511.88,244,0.97,12,63.39,23,5637.41,1033,601.44,212,0,0
West Jaintia Hills,2964.98,96.67,224,0,0,91.43,24,2359.95,301,416.93,158,0,0
West Khasi Hills,2148.64,18.78,9,0,0,11.12,5,1474.83,231,643.91,276,0,0
