District,Jun-20,Sep-20
East Garo Hills,21.11.2020,
East Jaintia Hills,19.11.2020,
East Khasi Hills,Fixed on 27.11.2020,Fixed on 27.11.2020
North Garo Hills,27.11.2020,
Ri Bhoi,11.11.2020,Fixed on 11.12.2020
South Garo Hills,Fixed on 09.12.2020,
South West Garo Hills,Fixed on 13.12.2020,
South West Khasi Hills,20.11.2020,
West Garo Hills,09.09.2020,Fixed on 08.12.2020
West Jaintia Hills,12.11.2020,
West Khasi Hills,11.11.2020,
