district,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt
East Garo Hills,82,20.62,52,69.02,12,35.25
East Jaintia Hills,22,7.44,24,34.85,7,24.75
East Khasi Hills,458,146.19,758,1067.15,251,2419.64
North Garo Hills,1,0.45,53,48.9,10,42
Ri Bhoi,100,10.95,211,195.82,52,146.81
South Garo Hills,7,2.54,17,16.27,3,6.17
South West Garo Hills,10,3.97,80,83.35,21,43.43
South West Khasi Hills,3,1.5,23,21.9,3,12.31
West Garo Hills,311,71.34,279,302.04,107,398.27
West Jaintia Hills,113,24.29,208,355.88,50,301.31
West Khasi Hills,38,14.02,64,86.9,6,25.72
