district,Amt. JAINS,No. JAINS,Amt. ZORASTRIANS,No. ZORASTRIANS,Amt. SIKHS,No. SIKHS,Amt. BUDDHISTS,No BUDDHISTS,Amt. MUSLIMS,No MUSLIMS,Amt CHRISTIANS,No. CHRISTIANS
East Garo Hills,0,0,0,0,0.91,1,0,0,17.58,43,35.08,28
East Jaintia Hills,0,0,0,0,0,0,0,0,30.11,73,442.39,315
East Khasi Hills,9.5,2,0,0,130.8,176,71.95,77,683.11,629,8390.28,6126
North Garo Hills,0,0,0,0,0,0,0.77,1,15.14,22,20.64,15
Ri Bhoi,0.34,6,0,0,177.19,26,20.32,15,850.53,712,1237.53,1936
South Garo Hills,0,0,0,0,0,0,0,0,6.07,6,44.51,107
South West Garo Hills,0,0,0,0,0,2,0,0,338.45,382,204.22,207
South West Khasi Hills,0,0,0,0,0,0,0,0,10,2,252.25,301
West Garo Hills,5,2,0,0,3.85,13,5.16,13,1446.24,2937,699.32,637
West Jaintia Hills,0,0,0,0,1.91,6,0,3,15.86,43,5540.98,2365
West Khasi Hills,0,0,0,0,0.32,1,0,0,19.67,8,1429.41,1626
