District,PMJJBY Enrolment,PMJJBY Eligible Cases,PMJJBY Renewals,PMSBY Enrolment,PMSBY Eligible Cases,PMSBY Renewals,APY Enrolment
East Garo Hills,1625,41075,641,4496,62127,2105,835
East Jaintia Hills,3379,14743,7336,8975,17970,7123,955
East Khasi Hills,48460,300394,79788,67299,367136,57299,9783
North Garo Hills,3196,46695,2030,7496,75906,5909,3147
Ri Bhoi,10218,69131,14269,26114,92243,16063,2098
South Garo Hills,882,20629,646,1627,30216,1116,369
South West Garo Hills,4078,51169,1282,9698,80463,3338,830
South West Khasi Hills,2978,20680,1888,3086,28165,1777,306
West Garo Hills,10196,154302,6542,25934,252161,16207,3403
West Jaintia Hills,6763,73141,10146,18515,93052,12680,1415
West Khasi Hills,6196,33516,9090,9938,38148,5297,628
