district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Chumoukedima,199.42,30,491.60,101,2166.40,412,12237.34,2023
Dimapur,727.87,123,2301.76,661,14872.98,1613,74975.42,15203
Kiphire,16.28,4,22.87,7,61.73,17,92.04,27
Kohima,142.92,52,486.86,147,7319.11,924,50335.49,8248
Longleng,0.26,1,6.11,2,0.00,0,174.79,48
Mokokchung,35.57,9,165.15,38,2396.45,746,11953.82,3727
Mon,21.73,7,80.88,25,1064.26,231,3645.50,947
Niuland,2.50,1,4.16,2,102.67,28,421.76,221
Noklak,0.00,0,2.95,1,0.00,0,6.63,2
Peren,10.41,4,20.89,8,257.32,47,585.23,227
Phek,18.27,2,61.13,7,227.61,72,957.10,262
Shamator,0.00,0,10.68,1,58.70,13,263.33,96
Tseminyu,0.00,0,0.63,1,234.55,82,1100.90,353
Tuensang,7.00,2,48.60,11,50.99,6,153.72,46
Wokha,56.38,4,121.78,18,572.97,136,3158.10,1175
Zunheboto,40.98,7,85.39,28,254.45,68,1383.74,476
