district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Chumoukedima,4525,637.45,90,975.96,28225690,419290.71,82237,4723.71,87240,664245.52,78604,2426.75
Dimapur,69339,6870.10,4432,6263.40,58923465,1160148.10,522327,77078.22,599572,3887753.08,150684,4825.78
Kiphire,0,0.00,21,183.36,4769126,53995.71,6229,368.94,137,1.92,4255,151.86
Kohima,8263,1167.23,271,304.93,31509914,602162.24,253054,15365.00,148663,1681726.01,89711,3062.08
Longleng,0,0.00,14,27.81,3590037,36495.96,3117,115.28,113,1.68,2099,74.85
Mokokchung,646,111.37,24,25.37,16854522,247915.33,101912,5047.02,32275,258859.85,28072,858.44
Mon,623,68.66,267,2040.55,13431789,166632.26,20235,1338.91,5395,165698.30,14679,380.69
Niuland,0,0.00,7,33.29,1382285,14729.63,1468,94.29,4,0.01,1369,49.81
Noklak,0,0.00,31,115.91,1369019,14166.96,2340,99.78,6,0.21,1141,27.29
Peren,0,0.00,16,149.85,6539568,69493.86,8115,903.64,683,152811.17,6489,221.90
Phek,0,0.00,11,7.59,6565501,82464.68,10630,492.54,39,0.84,8178,255.02
Shamator,0,0.00,6,9.67,860997,9828.85,1895,30.23,30,0.11,785,24.82
Tseminyu,0,0.00,0,0.00,1846642,21991.77,10475,413.70,2707,424.89,3619,109.81
Tuensang,0,0.00,12,20.34,8977709,102805.02,8879,670.03,449,141665.46,11906,327.61
Wokha,713,120.34,59,169.60,10350137,152060.41,36417,2215.12,16457,140096.47,18620,515.20
Zunheboto,476,49.74,24,30.21,7245663,100536.81,10967,953.93,3270,108501.28,10560,339.65
