district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Chumoukedima,80112,1480,5,1865,568
Dimapur,235688,9048,38,18078,954
Kiphire,28515,400,0,403,757
Kohima,138154,2740,24,7925,541
Longleng,21250,3304,0,3621,21
Mokokchung,102387,2082,15,2995,737
Mon,98428,2833,13,3989,342
Niuland,3378,385,4,616,14
Noklak,10014,388,0,388,25
Peren,33973,1319,0,1319,931
Phek,44778,1088,0,1279,950
Shamator,3665,1104,0,1464,4
Tseminyu,9353,88,0,88,59
Tuensang,30743,1506,0,1506,362
Wokha,52902,1842,0,2351,297
Zunheboto,43548,1250,0,1652,507
