district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Chumoukedima,151.57,40,19,70.74,11.85,35.22,19,6.71,524.92,150,29.39,132,51
Dimapur,1538.18,268,111,598.46,52.00,310.66,190,11.84,2624.77,856,47.04,215,92
Kiphire,246.48,105,24,71.74,3.28,22.06,17,5.29,416.97,257,5.91,89,32
Kohima,249.79,72,27,94.38,3.08,71.86,59,15.35,468.17,184,15.12,88,16
Longleng,0.00,0,0,0.00,0.00,0.83,2,7.38,11.25,13,0.06,6,0
Mokokchung,450.98,116,35,143.90,3.65,92.97,92,7.72,1204.03,567,19.54,91,25
Mon,85.18,31,6,3.29,0.22,31.49,39,14.78,213.05,186,7.70,83,13
Niuland,129.23,32,16,71.16,0.02,2.43,1,8.99,27.02,12,2.12,36,8
Noklak,0.00,0,0,0.00,0.00,0.00,0,0.00,0.00,0,1.32,11,0
Peren,182.20,48,38,152.59,0.45,8.30,7,2.70,307.79,92,1.80,12,3
Phek,78.47,29,14,33.12,2.18,47.06,31,15.23,309.08,199,7.41,111,25
Shamator,29.34,11,5,20.00,0.02,0.00,0,0.00,0.00,0,0.37,26,2
Tseminyu,0.03,1,1,0.03,0.00,5.87,5,47.26,12.42,7,5.09,11,1
Tuensang,38.23,14,7,22.24,4.27,4.97,6,3.41,145.56,95,5.23,50,10
Wokha,237.64,52,22,78.59,91.27,13.03,16,3.95,329.91,142,107.75,124,25
Zunheboto,104.93,40,6,22.93,0.40,25.06,36,15.74,159.24,111,5.14,52,16
