district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Chumoukedima,48218.06,71736.59,647.76,108.91,90.41,,44274.13,79346.58,0.00,97.56,120602.41,123620.71
Dimapur,23842.13,79561.82,340595.88,50.80,149.67,59.91,46929.27,53158.57,568516.47,66.41,443999.83,668604.31
Kiphire,4747.00,16153.64,0.00,129.54,138.47,,3664.46,11665.59,0.00,136.34,20900.64,15330.05
Kohima,18997.01,213801.68,7883.26,50.49,33.28,263.03,37622.47,642336.87,2997.14,35.24,240681.95,682956.48
Longleng,15878.36,227.87,0.00,233.92,66.03,,6787.81,345.09,0.00,225.80,16106.23,7132.90
Mokokchung,27280.23,65713.08,8998.84,89.52,88.76,,30475.30,74033.59,0.00,97.59,101992.15,104508.89
Mon,19788.28,29318.08,0.00,121.18,100.10,,16329.96,29289.13,0.00,107.64,49106.36,45619.09
Niuland,4188.98,0.00,0.00,220.28,,,1901.62,0.00,0.00,220.28,4188.98,1901.62
Noklak,3861.28,204.90,0.00,85.50,78.57,,4515.88,260.78,0.00,85.13,4066.18,4776.66
Peren,25753.24,1505.58,0.00,140.45,72.58,,18336.11,2074.49,0.00,133.55,27258.82,20410.60
Phek,10910.10,24707.19,0.00,121.63,132.73,,8969.60,18614.64,0.00,129.12,35617.29,27584.24
Shamator,3095.38,0.00,0.00,147.78,,,2094.63,0.00,0.00,147.78,3095.38,2094.63
Tseminyu,10129.77,693.00,0.00,137.23,36.63,,7381.44,1892.06,0.00,116.71,10822.77,9273.50
Tuensang,7080.33,36230.44,0.00,156.18,173.57,,4533.39,20874.26,0.00,170.46,43310.77,25407.65
Wokha,10560.19,33759.87,149.90,100.20,95.96,,10539.63,35180.47,0.00,97.27,44469.96,45720.10
Zunheboto,13542.85,33204.18,0.00,90.90,194.00,,14897.94,17115.30,0.00,146.02,46747.03,32013.24
