district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,383.19,68,7.42,25,4.82,3,0.95,508.83,102
Dimapur,1379.74,189,34.83,76,13.96,9,0.69,2021.04,418
Kiphire,120.50,42,1.61,9,2.10,4,1.58,132.56,58
Kohima,205.91,65,10.06,22,4.85,5,1.25,388.88,179
Longleng,55.39,36,10.43,24,2.38,5,2.29,104.05,88
Mokokchung,620.54,217,86.80,50,13.96,10,1.22,1144.94,394
Mon,181.46,102,32.29,26,10.56,11,2.94,358.91,273
Niuland,148.96,36,2.01,19,10.22,3,3.69,276.70,97
Noklak,7.20,3,9.51,5,3.00,1,13.15,22.82,14
Peren,862.00,138,17.58,87,40.51,11,2.29,1769.72,439
Phek,390.20,88,16.73,47,30.28,19,6.41,472.45,168
Shamator,33.84,14,1.24,2,0.79,1,1.86,42.56,29
Tseminyu,34.00,9,0.55,6,0.00,0,0.00,41.13,15
Tuensang,71.25,49,23.31,30,24.18,18,13.31,181.67,145
Wokha,245.76,73,12.76,14,3.10,4,0.66,471.99,200
Zunheboto,170.57,67,2.24,23,4.71,3,1.83,257.43,128
