district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Chumoukedima,52.54,7,2965.77,1765,14.80,2,374.39,130,68.54,6,3476.04,1910,0.00,0
Dimapur,345.43,24,9207.34,2381,2849.08,40,3210.30,499,242.94,19,15855.09,2963,0.00,0
Kiphire,16.50,1,54.80,21,0.00,0,15.06,8,0.00,0,86.36,30,0.00,0
Kohima,33.37,5,6519.98,2522,9.80,1,1457.40,245,27.82,4,8048.37,2777,0.00,0
Longleng,0.00,0,113.20,3,0.00,0,74.70,13,0.00,0,187.90,16,0.00,0
Mokokchung,92.09,18,544.15,148,0.00,0,428.98,341,2.00,1,1067.22,508,0.00,0
Mon,1.12,1,157.42,59,19.95,8,1205.52,259,5.01,2,1389.03,330,0.01,1
Niuland,0.00,0,172.63,56,0.00,0,0.00,0,0.00,0,174.63,57,2.00,1
Noklak,0.00,0,0.00,0,0.00,0,43.55,5,0.00,0,44.62,6,1.07,1
Peren,26.00,1,4.00,3,0.00,0,1.00,1,0.00,0,31.00,5,0.00,0
Phek,11.64,2,96.23,53,0.00,0,16.69,8,0.54,1,125.10,64,0.00,0
Shamator,0.00,0,93.79,27,0.00,0,16.76,6,0.00,0,110.55,33,0.00,0
Tseminyu,0.01,1,0.00,0,0.00,0,30.43,10,0.00,0,30.44,11,0.00,0
Tuensang,12.10,3,4.00,3,0.00,0,108.29,12,6.00,1,130.39,19,0.00,0
Wokha,55.00,2,400.52,125,0.00,0,334.81,149,0.00,0,790.33,276,0.00,0
Zunheboto,4.22,3,231.57,19,0.00,0,445.49,75,1.01,1,682.29,98,0.00,0
