district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,200.69,66,121.80,24,126.23,44,19.90,634.22,241
Dimapur,617.90,101,623.43,66,1297.34,445,33.30,3895.94,1033
Kiphire,288.03,170,3.00,1,44.84,23,10.99,407.94,227
Kohima,226.25,74,243.45,42,517.39,203,25.88,1999.47,684
Longleng,97.69,60,41.61,13,24.13,22,12.01,200.91,121
Mokokchung,74.96,11,80.22,10,60.73,97,19.34,314.03,164
Mon,351.25,133,121.97,30,48.91,28,6.72,728.17,313
Niuland,147.58,67,18.34,5,75.33,30,36.90,204.14,89
Noklak,26.71,13,0.00,0,7.20,5,7.31,98.55,51
Peren,74.29,39,6.65,2,50.51,25,16.79,300.83,138
Phek,319.39,128,58.50,17,396.26,169,46.65,849.48,329
Shamator,33.79,15,3.80,1,6.97,2,15.60,44.67,20
Tseminyu,69.55,29,25.75,8,25.85,9,15.85,163.07,71
Tuensang,240.89,113,41.91,13,12.68,10,3.22,393.18,193
Wokha,206.90,72,102.73,20,133.79,16,18.13,737.91,196
Zunheboto,344.33,119,69.16,9,91.89,57,14.71,624.88,254
