district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Chumoukedima,8,20,0,84,10,94,10,14,0,28,24
Dimapur,6,12,118,101,118,219,4,13,46,136,63
Kiphire,2,4,0,31,0,31,2,2,0,6,4
Kohima,6,91,3,101,154,255,9,46,1,100,56
Longleng,4,1,0,12,3,15,3,1,0,5,4
Mokokchung,9,29,0,17,19,36,14,12,0,38,26
Mon,4,9,0,170,69,239,10,7,0,13,17
Niuland,2,0,0,5,7,12,2,0,0,2,2
Noklak,1,1,0,22,0,22,1,1,0,2,2
Peren,6,1,0,25,1,26,5,1,0,7,6
Phek,3,5,0,18,0,18,3,5,0,8,8
Shamator,1,0,0,7,0,7,2,0,0,1,2
Tseminyu,2,1,0,2,0,2,2,1,0,3,3
Tuensang,1,8,0,11,0,11,3,4,0,9,7
Wokha,2,8,1,36,8,44,6,9,0,11,15
Zunheboto,4,8,0,17,1,18,7,6,0,12,13
