district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Chumoukedima,1230.97,13495,10220,14045,16059,1558,6605,10582,23715,12525
Dimapur,3421.23,52921,41644,66717,66653,11714,32619,13059,94565,81209
Kiphire,443.62,9020,7699,11947,11663,1907,1394,6250,16719,10473
Kohima,1174.98,15984,11403,17411,15947,4684,8749,15442,27387,9585
Longleng,311.45,8599,7483,13182,19008,552,15425,16082,16082,0
Mokokchung,1548.45,17607,15715,21197,24478,4926,6960,15581,33322,11593
Mon,1581.10,27845,25709,38227,39695,3767,16098,23610,53554,29950
Niuland,77.09,2534,1737,3386,2232,316,885,4272,4271,0
Noklak,142.89,2889,2651,2891,4800,13,1636,5540,5540,0
Peren,685.93,9623,7602,12646,15194,306,6408,17205,17225,22
Phek,975.69,12186,9811,15728,16645,3068,5084,10321,21997,11679
Shamator,117.06,2916,2360,3216,4329,535,3853,5264,5276,12
Tseminyu,147.29,1466,890,1713,1651,277,432,2269,2356,87
Tuensang,788.18,14120,13772,12980,23941,1781,7593,4106,27892,23789
Wokha,705.44,10157,5918,11373,11928,615,5443,7139,16075,7305
Zunheboto,487.04,9739,9277,9115,12276,3213,4191,15063,19016,3953
