district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Anjaw,3670,2715,115808,2715,4
Changlang,51119,44360,1371166,44616,59
Dibang Valley,3479,701,57448,705,11
East Kameng,21547,12367,1185990,13787,17
East Siang,35641,44478,1229006,45822,534
Kra Daadi,3385,3090,207689,3090,32
Kurung Kumey,14329,2072,281221,2453,53
Leparada,10237,2353,194001,2523,85
Lohit,17624,11785,445416,11975,112
Longding,8161,12222,386033,12222,0
Lower Dibang Valley,22618,11879,304325,11883,150
Lower Siang,4751,17311,283444,17311,129
Lower Subansiri,25433,12902,470599,13301,469
Namsai,33260,20906,657126,21748,478
Papum Pare,110146,45637,1845924,54387,1830
Shi Yomi,1031,0,0,49,0
Siang,2843,3967,163910,3967,30
Tawang,18943,3521,191898,4558,46
Tirap,23425,15356,448180,15951,13
Upper Siang,17883,2442,526012,2500,40
Upper Subansiri,23028,17381,960003,18693,171
West Kameng,31450,13000,360300,14108,173
West Siang,24551,13643,1315274,14500,126
