district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Anjaw,13.47,5,28.22,9,0.00,0,1.50,2,0.00,0,43.19,16,0.00,0
Changlang,155.03,137,673.55,527,0.00,0,18.98,25,0.00,0,847.56,689,0.00,0
Dibang Valley,4.00,3,37.47,30,0.00,0,7.59,3,6.00,1,55.06,37,0.00,0
East Kameng,36.33,7,217.90,204,0.00,0,26.03,11,0.00,0,280.26,222,0.00,0
East Siang,54.55,16,907.34,312,0.00,0,66.09,32,4.29,5,1032.27,365,0.00,0
Kra Daadi,0.00,2,24.02,20,0.00,0,0.00,0,0.00,0,24.02,22,0.00,0
Kurung Kumey,20.50,4,379.95,188,0.00,0,0.00,1,0.00,0,400.45,193,0.00,0
Leparada,2.00,3,78.93,40,0.00,0,0.00,1,0.00,0,80.93,44,0.00,0
Lohit,95.62,63,98.30,68,0.00,0,23.37,11,11.50,1,228.79,143,0.00,0
Longding,2.25,5,1439.88,1169,0.00,0,9.16,5,0.00,1,1451.29,1180,0.00,0
Lower Dibang Valley,0.00,3,164.98,153,0.00,0,12.80,7,0.00,0,177.78,163,0.00,0
Lower Siang,8.00,2,367.50,245,0.00,0,15.81,13,2.50,2,393.81,262,0.00,0
Lower Subansiri,50.48,18,1099.28,394,0.00,0,185.91,53,0.00,3,1335.67,468,0.00,0
Namsai,2393.90,1591,264.18,125,0.00,0,36.20,22,5.75,3,2700.03,1741,0.00,0
Papum Pare,1510.94,475,15027.99,5274,9.56,8,858.61,384,78.76,94,17505.86,6237,20.00,2
Shi Yomi,50.96,15,51.00,16,0.00,0,0.00,0,0.00,0,101.96,31,0.00,0
Siang,0.00,1,8.27,10,0.00,0,0.00,1,0.00,0,8.27,12,0.00,0
Tawang,1643.76,1094,65.60,31,0.00,0,14.82,19,10.00,2,1734.18,1146,0.00,0
Tirap,29.74,27,1036.35,495,0.00,0,18.95,18,0.00,2,1085.04,542,0.00,0
Upper Siang,23.12,27,144.02,123,0.00,0,0.00,1,0.00,1,167.14,152,0.00,0
Upper Subansiri,28.71,4,313.83,63,0.00,0,17.82,13,0.00,0,360.36,80,0.00,0
West Kameng,2745.75,2010,260.34,244,32.80,3,69.93,49,21.44,5,3136.26,2312,6.00,1
West Siang,464.35,394,467.74,113,0.00,0,38.86,17,11.00,5,981.95,529,0.00,0
