district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Anjaw,2021.76,0.00,0.00,18.22,,,11094.66,0.00,0.00,18.22,2021.76,11094.66
Changlang,13196.78,358.42,0.00,20.27,21.63,,65096.55,1656.76,0.00,20.31,13555.20,66753.31
Dibang Valley,1661.32,240.49,0.00,21.09,35.66,,7875.58,674.40,0.00,22.24,1901.81,8549.98
East Kameng,0.00,13182.34,0.00,,61.00,,0.00,21609.29,0.00,61.00,13182.34,21609.29
East Siang,5733.13,30088.62,0.00,21.02,35.30,,27274.62,85243.49,0.00,31.84,35821.75,112518.11
Kra Daadi,1967.53,0.00,0.00,32.87,,,5985.37,0.00,0.00,32.87,1967.53,5985.37
Kurung Kumey,2219.62,1249.93,0.00,26.39,70.50,,8411.98,1772.93,0.00,34.07,3469.55,10184.91
Leparada,5426.73,1172.00,0.00,31.86,64.37,,17032.19,1820.59,0.00,35.00,6598.73,18852.78
Lohit,2200.72,10066.14,0.00,42.57,27.57,,5169.51,36509.47,0.00,29.43,12266.86,41678.98
Longding,5654.23,0.00,0.00,44.19,,,12795.66,0.00,0.00,44.19,5654.23,12795.66
Lower Dibang Valley,505.22,8666.43,0.00,27.01,21.08,,1870.54,41120.92,0.00,21.33,9171.65,42991.46
Lower Siang,5806.76,0.00,0.00,33.69,,,17236.45,0.00,0.00,33.69,5806.76,17236.45
Lower Subansiri,5598.62,19109.80,0.00,30.79,40.89,,18180.33,46729.89,0.00,38.07,24708.42,64910.22
Namsai,6943.51,6605.57,0.00,30.11,28.44,,23063.85,23224.58,0.00,29.27,13549.08,46288.43
Papum Pare,40844.62,233467.86,9406.38,54.73,27.73,473.58,74627.16,842002.48,1986.23,30.89,283718.86,918615.87
Shi Yomi,0.00,0.00,276.60,,,28.53,0.00,0.00,969.48,28.53,276.60,969.48
Siang,1663.47,0.00,0.00,15.03,,,11070.88,0.00,0.00,15.03,1663.47,11070.88
Tawang,7096.42,4559.27,0.00,7.08,26.74,,100167.29,17053.34,0.00,9.94,11655.69,117220.63
Tirap,10870.55,1095.46,0.00,31.95,65.67,,34025.68,1668.22,0.00,33.52,11966.01,35693.90
Upper Siang,4492.05,588.83,0.00,14.25,36.42,,31529.27,1616.74,0.00,15.33,5080.88,33146.01
Upper Subansiri,2828.68,16414.45,0.00,20.92,51.48,,13518.93,31885.77,0.00,42.38,19243.13,45404.70
West Kameng,19737.24,1067.45,0.00,20.86,315.06,,94599.96,338.81,0.00,21.91,20804.69,94938.77
West Siang,1643.88,20218.73,0.00,13.00,33.68,,12644.55,60025.38,0.00,30.08,21862.61,72669.93
