district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Anjaw,0.00,0,0,0.00,3.49,0.00,0,0.00,0.00,0,3.49,12,12
Changlang,0.00,0,0,0.00,137.74,3.81,39,100.00,3.81,39,137.56,716,720
Dibang Valley,0.00,0,0,0.00,0.85,0.00,0,0.00,0.00,0,0.02,2,3
East Kameng,0.00,0,0,0.00,14.08,0.06,1,100.00,0.06,1,15.58,3,5
East Siang,10.50,19,0,0.00,5.92,1.52,6,8.92,17.04,25,119.22,485,47
Kra Daadi,15.70,19,0,0.00,11.46,0.00,0,0.00,15.70,19,11.46,123,123
Kurung Kumey,0.00,0,0,0.00,5.09,0.00,0,0.00,0.00,0,0.06,1,4
Leparada,6.59,12,0,0.00,1.83,0.12,2,1.19,10.11,16,30.48,134,16
Lohit,3.94,7,0,0.00,5.34,1.32,4,16.97,7.78,12,20.58,159,42
Longding,0.00,0,0,0.00,7.52,10.60,35,100.00,10.60,35,7.52,133,133
Lower Dibang Valley,26.02,38,0,0.00,2.97,0.21,2,4.20,5.00,6,40.57,208,13
Lower Siang,0.00,0,0,0.00,0.15,0.00,0,0.00,0.00,0,3.07,67,3
Lower Subansiri,59.00,52,13,15.83,22.34,0.71,1,1.40,50.82,38,94.87,706,66
Namsai,18.45,34,0,0.00,6.71,0.04,2,0.12,33.18,41,78.20,273,31
Papum Pare,64.65,54,13,10.67,114.09,39.63,52,34.20,115.87,107,159.95,913,64
Shi Yomi,0.00,0,0,0.00,10.30,0.00,0,0.00,0.00,0,0.00,0,18
Siang,2.01,2,2,2.01,19.69,0.00,0,0.00,0.00,0,47.58,150,67
Tawang,0.00,0,0,0.00,12.36,0.00,0,0.00,7.25,2,12.36,63,63
Tirap,0.00,0,0,0.00,51.72,1.37,12,90.73,1.51,14,49.94,584,590
Upper Siang,0.00,0,0,0.00,22.14,0.99,7,100.00,0.99,7,16.58,69,77
Upper Subansiri,28.35,52,0,0.00,4.38,1.67,6,4.19,39.84,56,75.26,497,29
West Kameng,12.36,5,0,0.00,31.73,8.86,37,46.41,19.09,38,32.26,124,102
West Siang,0.92,5,0,0.00,10.29,4.72,31,57.91,8.15,38,23.58,120,35
