district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Anjaw,2,0,0,2,0,4,2,0,0,2,2
Changlang,9,0,0,48,6,54,7,3,0,9,10
Dibang Valley,1,0,0,0,0,0,1,1,0,1,2
East Kameng,0,10,0,15,0,15,0,4,0,10,4
East Siang,0,14,0,51,14,68,6,12,0,14,18
Kra Daadi,1,0,0,4,1,5,1,0,0,1,1
Kurung Kumey,1,0,0,3,3,6,1,3,0,1,4
Leparada,1,0,0,2,1,4,2,2,0,1,4
Lohit,2,8,0,4,1,7,3,3,0,10,6
Longding,3,0,0,7,2,9,3,0,0,3,3
Lower Dibang Valley,5,1,0,49,8,57,2,5,0,6,7
Lower Siang,2,0,0,6,15,25,4,0,0,2,4
Lower Subansiri,3,6,0,29,0,33,5,7,0,9,12
Namsai,1,3,0,22,7,30,4,6,0,4,10
Papum Pare,22,90,2,73,3,90,11,41,8,114,60
Shi Yomi,0,0,0,0,0,0,0,0,1,0,1
Siang,1,0,0,7,0,9,4,0,0,1,4
Tawang,3,13,0,13,0,13,4,6,0,16,10
Tirap,3,0,0,21,0,26,2,3,0,3,5
Upper Siang,2,0,0,2,4,12,5,2,0,2,7
Upper Subansiri,1,5,0,7,0,31,5,2,0,6,7
West Kameng,38,8,0,26,0,26,14,2,0,46,16
West Siang,7,17,0,36,5,41,3,7,0,24,10
