district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Anjaw,0.00,0,0.00,0,0.59,1,50.86,1.16,2
Changlang,0.00,0,0.00,0,24.11,14,58.29,41.36,21
East Kameng,23.50,1,55.24,7,25.36,9,51.22,49.51,15
East Siang,4.77,5,32.85,12,74.04,42,67.41,109.83,54
Kra Daadi,0.00,0,0.00,0,163.11,60,82.02,198.87,72
Kurung Kumey,5.70,1,5.70,1,98.08,36,71.11,137.93,51
Leparada,0.00,0,0.00,0,13.19,7,31.64,41.69,12
Lohit,5.70,2,12.00,3,2.73,1,9.66,28.26,11
Longding,0.00,0,0.00,0,0.00,0,0.00,9.35,1
Lower Dibang Valley,0.00,0,0.48,1,4.45,3,36.03,12.35,5
Lower Subansiri,17.24,4,97.43,32,84.81,37,58.73,144.40,64
Namsai,0.00,0,0.00,0,25.53,10,37.25,68.53,36
Papum Pare,29.64,18,78.45,26,332.02,137,56.91,583.40,218
Tawang,31.34,6,48.63,9,4.18,5,6.81,61.42,20
Tirap,0.00,0,0.00,0,5.42,4,52.32,10.36,9
Upper Siang,0.00,0,0.00,0,28.40,12,53.49,53.09,19
Upper Subansiri,4.40,7,113.00,23,297.07,101,82.63,359.50,123
West Kameng,5.70,3,93.12,20,68.06,45,34.14,199.38,97
West Siang,10.25,7,9.25,6,253.09,102,79.00,320.36,107
