district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Anjaw,0,0.00,62705,1518.49,0,0.00,2,0.02,0,0.00,16972,178.06
Changlang,0,0.03,879104,20683.00,0,0.00,915,45.80,2,0.15,242297,3105.26
Dibang Valley,0,0.00,24395,629.86,0,0.00,254,18.52,0,0.00,9153,172.86
East Kameng,0,0.02,183066,6852.20,546,1098.92,7394,712.84,264,111.75,55396,1292.66
East Siang,15,2.00,816897,18568.62,38255769,1501187.78,26140,863.07,5671552,864371.70,277742,4064.71
Kra Daadi,0,0.01,70999,2480.30,0,0.00,0,0.00,0,0.00,17489,452.14
Kurung Kumey,0,0.00,42964,1473.33,0,0.00,4142,258.38,0,0.00,14616,429.00
Leparada,0,0.00,150771,3799.82,0,0.00,1038,55.18,0,0.00,39050,669.79
Lohit,0,0.00,363620,8077.15,657,321.00,1529,380.64,395,80.10,94203,1345.39
Longding,0,0.01,266046,8530.31,0,0.00,64,1.70,0,0.00,44672,839.03
Lower Dibang Valley,2,0.05,269056,5852.90,30448316,1307794.72,20207,538.01,4313260,1006753.48,88576,1361.64
Lower Siang,0,0.02,194284,4365.43,0,0.00,1,0.05,6,0.15,49546,748.49
Lower Subansiri,0,0.02,518977,13632.47,42531,1039.34,4745,477.63,6066,975.13,180987,3202.29
Namsai,0,0.22,439357,10093.49,0,0.00,1969,32.42,1,0.10,128540,1962.62
Papum Pare,696,57.97,2471140,72626.12,91249168,5055180.24,217956,8430.73,19616236,4472652.48,1222190,26085.16
Shi Yomi,0,0.00,0,0.00,0,0.00,310,12.84,0,0.00,0,0.00
Siang,0,0.00,68783,1481.10,0,0.00,0,0.00,0,0.00,19407,281.26
Tawang,1,0.01,219763,5870.60,23241996,833469.58,17942,807.72,2940846,572167.51,79546,1264.47
Tirap,0,0.02,432221,11917.67,0,0.00,395,19.99,20,2.07,108919,1742.79
Upper Siang,0,0.00,126238,3357.79,0,0.00,2461,133.54,0,0.00,38064,571.97
Upper Subansiri,0,0.00,256649,7920.60,261,162.00,4924,496.18,148,47.70,75846,1550.40
West Kameng,0,0.03,632472,17877.37,36816,985.53,5492,534.60,4843,1150.27,213890,3847.27
West Siang,39,2.27,439750,10872.89,40850,919.80,6027,232.64,8373,1260.12,146172,2431.48
