district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Chumoukedima,3085,329.66,15,34.14,11462390,213058.33,50525,3102.37,33696,231201.77,67017,1975.71
Dimapur,32674,1517.56,464,416.17,25922215,604602.86,364056,22269.86,387958,1486387.63,141615,4127.14
Kiphire,0,0.00,45,66.84,1821337,26496.14,1208,62.05,23,0.75,4085,134.46
Kohima,8005,579.51,1149,194.67,12734628,292162.73,199958,12433.40,102974,724670.57,90617,2750.86
Longleng,0,0.00,39,23.18,1267901,17413.78,629,18.54,16,0.30,2028,69.15
Mokokchung,495,54.68,8,0.67,7254326,117025.13,68522,3309.60,22099,79951.81,25160,725.22
Mon,233,43.37,183,723.50,5123735,81946.79,11061,908.80,4564,73992.74,12027,308.37
Niuland,0,0.00,3,9.78,558946,7086.25,2829,145.07,2,0.02,1282,58.65
Noklak,0,0.00,4,0.08,506244,6777.95,1,0.00,4,0.02,994,25.09
Peren,0,0.00,35,61.81,2337718,31251.03,2282,77.68,397,14.26,6154,175.07
Phek,0,0.00,18,3.17,3139034,54297.25,4021,162.65,14,0.17,9783,337.61
Shamator,0,0.00,10,4.61,291902,4674.07,1568,31.59,0,0.00,692,16.63
Tseminyu,0,0.00,0,0.00,755712,11276.97,6909,231.23,2178,381.96,3694,102.82
Tuensang,0,0.00,17,10.20,3432064,51581.23,4354,203.78,38,0.64,9939,292.50
Wokha,544,41.92,55,62.64,4387335,75950.32,15447,1020.71,9285,52565.81,13608,407.95
Zunheboto,201,20.55,15,15.72,2874225,49687.02,5475,547.37,1126,52099.57,9606,333.64
