district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Chumoukedima,82.41,21,111,273.66,110.10,90.95,57,26.52,342.91,126,37.26,380,1189
Dimapur,451.18,138,308,746.79,231.10,158.98,118,11.20,1419.03,572,239.88,423,2160
Kiphire,125.50,71,146,202.84,187.86,35.23,23,17.24,204.38,148,60.95,329,1044
Kohima,149.44,50,145,246.16,368.00,70.76,58,16.46,429.85,289,68.65,337,2332
Longleng,11.50,7,5,8.00,50.69,1.49,1,8.84,16.85,12,50.80,349,343
Mokokchung,461.73,144,483,880.61,361.09,187.14,159,15.74,1189.05,626,51.23,486,2313
Mon,100.41,42,208,213.61,677.09,38.42,51,18.54,207.27,207,552.21,1009,2345
Niuland,126.50,24,302,747.46,122.89,192.74,107,21.91,879.82,375,7.79,72,1131
Noklak,0.00,0,0,0.00,187.85,0.00,0,0.00,0.00,0,187.85,195,195
Peren,92.20,23,42,122.86,71.07,8.34,10,5.34,156.23,61,36.42,159,674
Phek,69.70,22,157,207.45,367.79,38.68,41,13.03,296.90,190,203.44,803,2185
Shamator,7.25,6,2,11.66,20.88,0.00,0,0.00,34.06,35,21.13,217,192
Tseminyu,6.04,3,8,12.64,127.10,4.21,4,23.75,17.73,10,85.90,309,675
Tuensang,61.04,20,93,100.93,450.41,15.45,31,9.81,157.44,127,262.20,697,2012
Wokha,213.53,63,147,285.78,272.93,25.50,42,4.53,563.34,270,219.56,313,1059
Zunheboto,87.93,36,105,101.24,269.83,36.81,33,23.69,155.38,142,180.13,541,1354
