district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,46.81,18,2.53,7,0.00,0,0.00,111.14,49
Dimapur,347.28,99,6.72,22,2.56,9,0.40,639.24,255
Kiphire,6.36,6,1.22,6,1.52,6,3.93,38.65,44
Kohima,83.21,33,4.39,15,2.42,5,1.17,207.57,168
Longleng,13.07,16,8.89,21,1.55,9,2.67,57.96,72
Mokokchung,412.58,164,10.27,25,10.49,13,1.21,863.93,382
Mon,110.95,60,12.41,24,4.78,8,1.68,283.72,253
Niuland,63.40,17,0.77,7,0.00,0,0.00,196.54,104
Noklak,8.40,7,0.11,7,0.00,0,0.00,9.03,8
Peren,603.24,130,9.08,42,0.07,6,0.01,1168.64,367
Phek,154.50,47,11.01,36,1.60,14,0.49,325.74,173
Shamator,9.14,8,1.63,11,0.00,0,0.00,31.04,47
Tseminyu,4.00,1,4.48,9,0.08,7,0.34,23.35,16
Tuensang,42.10,26,26.97,29,1.70,7,1.43,118.72,88
Wokha,124.97,32,11.91,11,4.61,5,1.69,273.34,144
Zunheboto,98.32,36,2.91,4,1.90,3,1.35,140.76,86
