district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Chumoukedima,87.47,7,1102.59,1105,0.00,0,115.01,93,12.17,1,1317.24,1206,0.00,0
Dimapur,844.44,23,6535.57,2265,879.76,29,2043.89,405,264.09,13,10567.75,2735,0.00,0
Kiphire,0.00,0,0.00,0,0.00,0,12.67,5,0.00,0,12.67,5,0.00,0
Kohima,265.29,11,4285.22,1889,0.00,0,1178.39,231,12.16,2,5741.06,2133,0.00,0
Longleng,0.00,0,35.23,17,0.00,0,86.48,21,0.00,0,121.71,38,0.00,0
Mokokchung,103.15,22,452.59,143,0.00,0,195.32,240,0.00,0,751.06,405,0.00,0
Mon,0.00,0,28.25,5,0.00,0,839.31,248,17.50,1,885.19,256,0.13,2
Niuland,0.50,1,55.86,32,0.00,0,0.00,0,0.00,0,56.36,33,0.00,0
Noklak,0.00,0,0.00,0,0.00,0,7.00,1,0.00,0,7.00,1,0.00,0
Peren,11.00,1,16.24,6,0.00,0,6.03,3,0.00,0,33.27,10,0.00,0
Phek,13.00,2,49.52,28,0.00,0,30.22,8,2.00,1,94.74,39,0.00,0
Shamator,0.00,0,31.15,19,0.00,0,25.20,7,0.00,0,56.35,26,0.00,0
Tseminyu,1.00,2,0.00,0,0.00,0,25.75,12,0.00,0,26.75,14,0.00,0
Tuensang,0.97,2,22.10,8,0.00,0,57.02,9,0.00,0,80.09,19,0.00,0
Wokha,50.50,5,228.58,98,0.00,0,364.90,139,0.00,0,643.98,242,0.00,0
Zunheboto,3.39,2,262.90,59,0.00,0,461.16,68,0.00,0,727.45,129,0.00,0
