district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Chumoukedima,93.33,21,367.34,89,1731.32,193,8090.63,1452
Dimapur,635.99,129,2016.17,3667,9693.66,1677,61996.06,13849
Kiphire,0.00,0,17.71,3,0.00,0,6.01,2
Kohima,50091.78,11,2059.97,155,5191.75,871,40253.51,7832
Longleng,0.00,0,8.09,3,22.18,10,106.06,35
Mokokchung,40.90,8,271.34,105,1341.37,489,12261.59,4377
Mon,45.04,8,85.67,24,632.59,171,3049.43,837
Niuland,0.00,0,0.10,1,35.93,21,358.75,235
Noklak,0.00,0,4.78,1,3.85,1,13.45,2
Peren,0.69,3,16.94,7,152.76,91,423.39,183
Phek,14.76,1,49.20,5,61.36,32,589.14,161
Shamator,0.00,0,0.00,0,13.05,10,175.92,97
Tseminyu,0.00,0,0.63,1,201.79,63,1047.62,312
Tuensang,20.00,2,74.17,13,48.80,11,99.25,24
Wokha,10.48,2,72.64,24,471.38,183,2560.41,1059
Zunheboto,43.00,5,97.78,23,277.86,54,1096.14,415
