district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Chumoukedima,73886,5558,7,6699,532
Dimapur,185192,12306,51,28982,1052
Kiphire,25421,4089,3,4089,758
Kohima,120521,5167,35,11430,462
Longleng,18547,5175,1,5616,56
Mokokchung,88981,5087,5,7257,1180
Mon,85754,14167,7,15615,418
Niuland,10415,718,0,1091,247
Noklak,7748,973,3,973,22
Peren,25375,3634,2,3634,1206
Phek,46582,4285,0,4570,997
Shamator,2739,1228,0,1940,6
Tseminyu,10227,503,0,483,115
Tuensang,32614,7978,1,7978,384
Wokha,46658,3811,0,5019,380
Zunheboto,38412,3951,0,4492,521
