district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,50.78,15,67.78,16,96.15,26,16.45,584.48,219
Dimapur,693.15,106,2026.67,186,1025.89,345,35.29,2907.38,856
Kiphire,44.35,14,57.85,18,48.32,25,7.74,624.47,313
Kohima,392.07,93,1167.92,154,75.84,73,7.51,1010.47,394
Longleng,10.45,2,15.20,3,5.70,5,1.74,326.68,179
Mokokchung,32.53,10,457.61,53,573.73,130,80.55,712.30,189
Mon,13.50,6,368.87,64,24.23,12,3.42,709.24,333
Niuland,0.00,0,0.00,0,17.05,6,9.06,188.29,70
Noklak,0.00,0,0.00,0,1.45,1,1.21,120.29,57
Peren,14.71,4,19.77,5,71.52,30,12.96,551.68,227
Phek,26.98,7,137.94,40,524.40,184,44.55,1177.10,425
Shamator,0.00,0,36.29,9,0.00,0,0.00,61.69,24
Tseminyu,9.50,2,50.00,15,3.00,1,1.80,166.64,59
Tuensang,65.23,17,100.76,26,11.26,6,1.82,618.66,297
Wokha,98.46,26,412.80,60,12.52,25,2.46,509.14,186
Zunheboto,77.66,22,451.97,106,17.48,10,2.88,607.70,244
