district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Chumoukedima,1051.02,12054,9115,10937,16349,1620,4113,8586,21169,12009
Dimapur,3045.81,51953,40825,62982,72707,9207,41731,9214,92778,84540
Kiphire,379.25,8524,7599,10532,12319,1542,2643,6000,16123,10128
Kohima,1290.27,15934,12018,17383,19432,5247,10154,16830,27952,10919
Longleng,259.43,8561,7369,12498,19563,444,4529,15930,15930,0
Mokokchung,1528.67,17755,16672,20866,24529,4529,3526,15430,34427,12568
Mon,1419.02,27180,26450,35060,40179,3310,13116,23313,53630,30324
Niuland,84.37,2408,1800,3144,2159,572,472,4097,4208,112
Noklak,135.92,2685,2529,2103,4952,10,614,5214,5214,0
Peren,548.69,9339,7262,10274,15802,281,2477,16581,16601,22
Phek,1020.48,12850,10676,15745,19327,2539,3054,12174,23526,11358
Shamator,92.67,2418,2040,2239,3869,426,968,4446,4458,12
Tseminyu,137.69,1651,1002,1901,1961,271,336,2566,2653,87
Tuensang,688.45,14296,13947,10987,25091,1883,6232,4102,28243,24144
Wokha,567.45,9863,5915,9902,12279,695,2185,6599,15778,7246
Zunheboto,467.86,9583,9674,8033,12748,3353,2144,14863,19257,4394
