District,total_deposit,total_advances,cd_ratio
Aligarh,26292.4,13059.3,49.67
Ambedkar Nagar,3711.14,47.13,601.0
Amethi,3477.24,42.71,
Amroha,3802.07,2360.22,62.08
Auraiya,5183.78,1996.44,38.51
Ayodhya,44.0,157.0,495.0
Azamgarh,20361.35,5737.55,
Baghpat,6712.15,3936.53,58.65
Bahraich,8220.52,5839.83,71.04
Ballia,42.0,381.0,8.0
Balrampur,24.0,420.0,2.0
Banda,6122.82,3063.53,50.03
Barabanki,9973.58,7473.76,74.94
Bareilly,29108.65,16700.4,57.37
Basti,9427.64,41.16,8.0
Bhadohi,115.0,347.0,12.0
Budaun,146.0,326.0,69.28
Bulandshahr,74.0,735.0,20.0
Chandauli,8058.23,3541.51,43.95
Chitrakoot,3185.97,1948.79,61.17
Deoria,12959.72,4771.32,36.82
Etah,16.0,542.0,
Etawah,8295.5,3534.91,42.61
Farrukhabad,7167.21,3521.91,49.14
Fatehpur,8797.7,46.34,46.34
Firozabad,9998.32,6023.94,60.25
Gautam Buddha Nagar,152233.41,88543.1,58.16
Ghaziabad,79765.96,38230.73,9.0
Ghazipur,17053.69,5811.25,34.08
Gonda,7972.43,3522.62,44.19
Gorakhpur,36824.89,16810.4,45.65
Hamirpur,2285.47,56.52,35.0
Hardoi,95.0,259.0,52.5
Hathras,85.0,320.0,5.0
Jalaun,6798.03,3175.69,45.71
Jaunpur,6678.22,34.28,
Jhansi,17058.96,7875.88,46.17
Kannauj,5366.52,3206.5,59.75
Kanpur Dehat,5807.34,2708.49,46.64
Kanpur Nagar,71.0,457.0,27.0
Kasganj,2503.4,74.03,74.03
Kaushambi,4386.55,1927.29,
Kheri,9866.28,8036.51,81.45
Kushi Nagar,9194.26,4479.72,48.72
Lalitpur,3483.85,2395.99,68.77
Lucknow,216765.14,41.99,41.99
Maharajganj,5884.19,3550.47,60.34
Mainpuri,6407.53,3871.89,60.43
Mathura,19993.18,11862.99,59.34
Mau,3466.22,34.01,34.01
Meerut,20.0,298.0,12.0
Mirzapur,10229.88,4278.59,41.82
Moradabad,40740.76,29310.07,71.94
Muzaffarnagar,10509.09,69.5,158.0
Pilibhit,5908.16,4861.71,82.29
Pratapgarh,12827.23,4112.64,32.06
Prayagraj,99.0,1146.0,5.0
Rae Bareli,14733.84,6381.8,
Rampur,6365.61,3784.38,59.45
Saharanpur,18888.84,61.64,61.64
Sambhal,3330.07,2589.64,77.77
Sant Kabeer Nagar,5037.74,40.79,258.0
Shahjahanpur,98.0,380.0,32.0
Shamli,4783.06,2887.95,60.38
Shravasti,2009.96,62.62,
Siddharth Nagar,6149.94,2449.17,39.82
Sitapur,6094.08,57.02,602.0
Sonbhadra,10065.57,4531.73,
Sultanpur,10021.86,3853.44,38.45
Unnao,6.0,448.0,172.0
Varanasi,52910.8,27410.54,51.81
