District,sc_st_loans,sc_st_amount,women_loans
Agra,34536.0,258796.98,120.66
Aligarh,10476.0,64678.04,
Ambedkar Nagar,8309.0,30235.31,
Amethi,3755.0,16210.55,
Auraiya,1921.0,9247.55,
Azamgarh,27625.0,79294.26,
Bahraich,94.0,57.0,11.13
Ballia,115.0,79.0,10.43
Balrampur,3515.0,10705.91,3.92
Barabanki,121.0,20.58,
Bareilly,297.0,39.76,
Basti,8120.0,29250.93,
Bijnor,188.0,23.96,
Budaun,6769.0,17923.18,
Bulandshahr,9945.0,44341.37,
Deoria,9168.0,34914.55,
Gautam Buddha Nagar,2090.0,61658.32,
Ghazipur,3179.0,8767.87,
Hardoi,8725.0,37187.99,
Hathras,2962.0,14579.46,
Jaunpur,18561.0,60119.66,
Kushi Nagar,6518.0,25314.84,
Mainpuri,3139.0,14740.66,
Mathura,8198.0,50272.44,
Mau,9774.0,31097.26,
Mirzapur,11712.0,46747.72,
Moradabad,30511.0,93444.45,
Muzaffarnagar,1484.0,10272.53,
Pilibhit,695.0,2921.86,
Pratapgarh,1277.0,7089.19,
Prayagraj,27450.0,140040.8,
Saharanpur,13679.0,41215.99,
Sambhal,3422.0,11118.06,
Sant Kabeer Nagar,4979.0,17744.0,
Shahjahanpur,6396.0,24792.6,
Siddharth Nagar,5056.0,16106.13,4.99
Sitapur,6515.0,26471.12,11.84
Sonbhadra,561.0,6555.21,
Sultanpur,156.0,18.57,
Unnao,8478.0,35589.97,
Varanasi,587.0,98.07,
