District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Amethi,8225.0,26.51,25.62,,,,,
Ballia,79168.0,244.01,241.92,19851.0,214.12,90.29,,
Banda,15264.0,45.56,45.04,,,,,
Barabanki,11712.0,33.35,32.17,,,,,
Bhadohi,34444.0,114.37,112.83,11272.0,123.68,118.06,954.0,55.46
Bijnor,84193.0,291.66,287.7,,,,,
Budaun,22543.0,75.29,72.98,198.27,,,,
Chitrakoot,19854.0,65.32,7367.0,,,,,
Etawah,28101.0,8.14,6.82,2601.0,54.37,50.15,690.0,50.91
Fatehpur,12213.0,40.49,37.88,6662.0,142.61,127.7,1716.0,80.41
Firozabad,40111.0,124.0,121.61,15296.0,161.1,156.52,1204.0,77.35
Gautam Buddha Nagar,68651.0,228.03,,,,,,
Ghaziabad,52364.0,163.32,17373.0,,,,,
Ghazipur,55242.0,175.82,172.3,223.72,,,,
Gonda,16264.0,50.7,,,,,,
Gorakhpur,205006.0,670.29,578.45,,,,,
Hamirpur,17.13,16.93,,,,,,
Hapur,41849.0,146.84,145.82,10933.0,112.08,110.22,765.0,62.41
Hardoi,11667.0,34.63,,,,,,
Hathras,24282.0,85.16,84.07,10294.0,113.45,110.93,,
Jalaun,7156.0,21.0,20.58,1900.0,40.98,38.95,904.0,38.4
Kannauj,9494.0,32.04,31.45,,,,,
Kanpur Dehat,9420.0,28.8,27.84,3316.0,68.95,65.09,627.0,39.78
Kaushambi,15277.0,55.13,53.7,6605.0,95.91,91.25,777.0,42.03
Kushi Nagar,144351.0,455.32,305.18,,,,,
Lalitpur,1261.0,3.18,2.88,1611.0,35.89,32.81,662.0,40.45
Mahoba,5449.0,17.93,17.57,1267.0,27.01,25.81,357.0,11.86
Mainpuri,4042.0,6.12,5.72,4008.0,88.34,84.08,985.0,78.32
Mau,31016.0,96.08,95.44,8670.0,130.22,126.09,928.0,63.77
Meerut,68748.0,234.28,,,,,,
Muzaffarnagar,94290.0,314.43,309.24,15249.0,,,,
Pilibhit,6185.0,20.14,18.55,3409.0,80.86,74.57,,
Rae Bareli,29304.0,92.67,89.8,,,,,
Rampur,22198.0,72.56,71.41,,,,,
Sambhal,21021.0,72.82,72.13,2336.0,39.85,35.43,438.0,34.52
Sant Kabeer Nagar,25107.0,83.77,82.19,8029.0,,,,
Shamli,42547.0,135.4,134.22,3938.0,47.6,46.2,464.0,37.02
Shravasti,2106.0,5.84,5.79,27.67,,,,
Sitapur,31245.0,93.4,92.4,107.89,,,,
Sonbhadra,58234.0,180.08,176.3,12700.0,130.8,128.37,1162.0,78.83
Sultanpur,28289.0,94.37,92.81,11939.0,173.26,164.59,1345.0,96.61
Unnao,12752.0,38.96,38.13,7802.0,136.55,129.3,1009.0,67.16
