District,target_no,target_amt,achievement_no,achievement_amt
Agra,37129.0,947.76,481.0,86.67
Aligarh,299.0,294.0,294.0,84.0
Amethi,47.0,80.36,,
Amroha,21831.0,414.33,,
Auraiya,1032.0,29.26,,
Azamgarh,14660.0,266.37,67.0,95.71
Baghpat,73.0,64.0,63.0,90.0
Bahraich,56997.0,599.1,59.0,84.29
Ballia,37.0,69.05,,
Balrampur,10035.0,185.21,34.0,97.14
Banda,3.0,3.0,3.0,3.0
Barabanki,1.0,1.0,1.0,107.14
Bareilly,421.0,417.0,385.0,91.67
Bhadohi,46.0,46.0,46.0,82.14
Bijnor,163.0,81.63,,
Budaun,97.0,76.98,,
Bulandshahr,205.0,204.0,203.0,85.29
Chandauli,68.0,68.0,68.0,97.14
Etah,5817.0,103.53,50.0,89.29
Etawah,115.0,82.0,80.0,95.24
Farrukhabad,88.0,86.0,86.0,87.76
Firozabad,234.0,80.71,,
Gautam Buddha Nagar,18746.0,982.27,,
Ghaziabad,731.0,730.0,714.0,92.73
Ghazipur,33.0,78.57,,
Gonda,43.0,43.0,42.0,85.71
Gorakhpur,23814.0,466.65,313.0,89.43
Hamirpur,4324.0,81.84,55.0,98.21
Hapur,23699.0,400.36,108.0,85.71
Hardoi,90.0,90.0,90.0,90.0
Hathras,45.0,80.36,,
Jalaun,116.0,116.0,116.0,85.93
Jaunpur,73.0,72.0,72.0,102.86
Jhansi,7329.0,219.26,225.0,89.29
Kannauj,62.0,62.0,62.0,88.57
Kanpur Dehat,4937.0,92.1,,
Kanpur Nagar,32688.0,1364.34,,
Kasganj,45.0,78.57,,
Kaushambi,40.0,30.0,82.86,
Kheri,81.0,81.0,79.0,86.81
Kushi Nagar,31.0,30.0,30.0,85.71
Lalitpur,1792.0,64.62,85.0,101.19
Lucknow,51430.0,2109.12,634.0,100.63
Maharajganj,60.0,29.0,82.86,
Mahoba,31.0,73.81,,
Mathura,10444.0,282.93,5.0,5.0
Meerut,9.0,9.0,467.0,92.66
Mirzapur,6893.0,112.13,,
Moradabad,10.0,7.0,,
Muzaffarnagar,6.0,6.0,6.0,
Pilibhit,3.0,3.0,3.0,
Pratapgarh,1.0,1.0,1.0,
Prayagraj,7.0,9.0,9.0,94.69
Rae Bareli,2.0,2.0,89.0,90.82
Rampur,121.0,113.0,111.0,88.1
Saharanpur,282.0,76.99,,
Sambhal,4.0,4.0,,
Sant Kabeer Nagar,1100.0,38888888.0,8889888.0,
Shahjahanpur,5.0,5.0,5.0,90.71
Shamli,3.0,4.0,62.0,88.57
Shravasti,8971.0,116.99,,
Siddharth Nagar,1.0,1.0,1.0,1.0
Sitapur,6.0,6.0,6.0,6.0
Sonbhadra,1.0,1.0,,
Sultanpur,38.0,77.55,,
Unnao,8302.0,121.22,,
Varanasi,10.0,8.0,8.0,101.28
