District,no_of_bank_mitra
Agra,213426.0
Aligarh,3564.0
Ambedkar Nagar,1089505.0
Amethi,291.0
Amroha,94776.0
Auraiya,42.6
Ayodhya,47.7
Azamgarh,22.69
Baghpat,194085.0
Bahraich,4525.0
Ballia,3569.0
Balrampur,59144.0
Banda,2.35
Barabanki,3620.0
Bareilly,5980.0
Basti,10960.0
Bhadohi,3164.0
Budaun,95850.0
Bulandshahr,111868.0
Chandauli,96532.0
Chitrakoot,50.87
Deoria,11575.0
Etah,2152.0
Etawah,153.0
Farrukhabad,0.0
Fatehpur,41.54
Firozabad,805.0
Gautam Buddha Nagar,420.0
Ghaziabad,1478.0
Ghazipur,942.0
Gonda,4560.0
Gorakhpur,139012.0
Hamirpur,0.0
Hapur,1789.0
Hardoi,12.0
Hathras,1356.0
Jalaun,0.0
Jaunpur,28.4
Jhansi,78014.0
Kanpur Dehat,108.0
Kanpur Nagar,259962.0
Kasganj,0.0
Kaushambi,15.0
Kheri,6150.0
Kushi Nagar,11158.0
Lalitpur,4657.0
Lucknow,3980.0
Maharajganj,281.0
Mainpuri,3.0
Mathura,4980.0
Mau,940.0
Meerut,4256.0
Mirzapur,33.0
Moradabad,4950.0
Muzaffarnagar,1404.0
Pilibhit,408.0
Pratapgarh,4178.0
Prayagraj,5689.0
Rae Bareli,4865.0
Rampur,1017.0
Saharanpur,3650.0
Sambhal,3890.0
Sant Kabeer Nagar,890.0
Shahjahanpur,2650.0
Shamli,72420.0
Shravasti,62707.0
Siddharth Nagar,33.4
Sitapur,4158.0
Sonbhadra,41.15
Sultanpur,5698.0
Unnao,171.0
Varanasi,2475.0
