District,KCC No.,Disbursed Amt,Total KCC No.,Outstanding Amt,RuPay Card No.,Card Activated,AH KCC No.,AH Disbursed Amt
East Garo Hills,422,269.11,4692,2065.54,1811,1324,0,0
East Jaintia Hills,35,11.08,231,121.42,78,66,4,2.26
East Khasi Hills,2348,1477.36,23531,13051.3,9194,7105,78,51
North Garo Hills,184,132.19,7377,2657.3,2598,1736,0,0
REBHOI,1782,1074.12,31945,18973.78,16662,13883,94,55.25
South Garo Hills,23,14.48,1280,324.28,147,81,1,0.8
South West Garo Hills,544,296.69,5560,2407.18,1688,1008,0,0
South West Khasi Hills,121,93.08,1935,974.87,187,145,0,0
West Garo Hills,715,388.44,8994,4156.03,2043,1561,5,1.75
West Jaintia Hills,501,335.71,5510,2851.48,1800,1459,19,24.76
West Khasi Hills,568,275.44,12524,6861.4,7015,5868,51,27.76
