District,Other Amt,Other No.,Clinic Amt,Clinic No.,Godown Amt,Godown No.,Fisheries Amt,Fisheries No.,Poultry Amt,Poultry No.,Farm Mechanisation Amt,Farm Mechanisation No.,Dairy Amt,Dairy No.,Farm Production Amt,Farm Production A/C,AH & Allied Activities KCCs Amt,AH & Allied Activities KCCs No.
East Garo Hills,23.7,37,0,0,0,0,0.78,1,0,0,0.03,1,15.5,9,0,0,0,0
East Jaintia Hills,107.12,112,0,0,0,0,0,0,1.5,1,0,0,10.8,6,0,0,0,0
East Khasi Hills,1644.59,1162,1.8,1,0,0,25.25,49,89.51,87,48.82,29,176.25,203,21.07,1,29.48,56
North Garo Hills,0,0,0,0,0,0,0,0,0.03,1,0,0,3.08,2,0,0,0,0
Ri Bhoi,1268.43,499,3.03,1,0,0,27.57,36,117.92,90,6.09,9,429.63,185,0,0,0.2,1
South Garo Hills,0,0,0,0,0,0,0,0,0.5,1,0,0,3.31,3,0,0,1.14,2
South West Garo Hills,77.8,185,0,0,0,0,0.75,5,1.39,12,7.66,2,0,0,0,0,0,0
South West Khasi Hills,17.38,13,0,0,0,0,0,0,0,0,0,0,8.77,5,0,0,0,0
West Garo Hills,137.34,375,0,0,0,0,0,0,15.11,17,4.65,14,61.7,40,0,0,0,0
West Jaintia Hills,388.54,279,0,0,0,0,15.73,35,21.78,36,0,0,9.42,5,0,0,0.94,1
West Khasi Hills,103.09,102,0,0,10.12,1,1.75,8,21.85,17,0.02,1,55.55,36,0,0,0,0
