District,Agriculture Total,Amt Ancillary,Ancillary No.,Agri Amt Infra,Agri No Infra,Out Allied Credit of Amt Total Farm,Out Alied Credit of No Total Farm,Term Farm Amt Loan Credit,Term Farm No Loan Credit,Crop Farm Amt Credit,Farm Crop No Credit
East Garo Hills,6022.57,2.56,4,3397.39,2136,7.11,14,61.61,227,2561.01,5683
East Jaintia Hills,3906.16,79,94,3313.24,1990,52.67,111,292.59,342,221.33,267
East Khasi Hills,128394.91,6912.5,375,106802.36,3082,804.98,1459,2383.99,4048,12296.06,21970
North Garo Hills,3919.22,38.95,28,1600.68,2015,4.32,14,8.05,22,2271.54,6629
Ri Bhoi,24342.66,3243.94,120,4829.21,2370,1673.95,2179,1693.58,3948,14575.93,24896
South Garo Hills,2123.86,0,0,1734.84,1340,0.55,3,71.08,168,317.94,1257
South West Garo Hills,4166.2,1.01,1,1874.8,1225,4.08,24,161.28,363,2129.11,4901
South West Khasi Hills,2094,0,0,964.16,210,8.98,6,72.68,194,1057.16,1943
West Garo Hills,12297.59,997.7,12,6924.97,5135,12.86,39,638.14,1381,3736.78,8217
West Jaintia Hills,17795.5,1006.18,140,13136.89,2113,429.83,181,909.03,509,2743.4,5056
West Khasi Hills,8664.08,67,61,3071.31,5060,84.18,133,408.13,1111,5117.64,9670
