District,Christians No.,Christians Amt,Muslims No.,Muslims Amt
East Garo Hills,540,577.39,47,78.42
East Jaintia Hills,1823,4666.41,99,163.13
East Khasi Hills,45003,72396.85,1505,4863.31
North Garo Hills,81,125.26,22,62.56
REBHOI,12928,10230.81,991,4004.63
South Garo Hills,339,387.98,10,49.27
South West Garo Hills,855,721.22,396,1001.07
South West Khasi Hills,2134,2053.59,5,17.83
West Garo Hills,4941,8069.26,3023,5651.91
West Jaintia Hills,8092,14639.9,91,187.13
West Khasi Hills,9179,10359.21,41,53.29
