District,Loan Current Amount Year Achievement Crop,PMFBY Rabi Farmers Covered No.,Rabi insured PMFBY under Amt,Rabi Insurance No. (Others),Rabi Insurance Amount (Others)
East Garo Hills,0.8,0,0,0,0
East Jaintia Hills,10.71,0,0,0,0
East Khasi Hills,5565.82,0,0,0,0
North Garo Hills,1.2,0,0,0,0
Ri Bhoi,284.04,0,0,0,0
South Garo Hills,9.47,0,0,0,0
South West Garo Hills,17.45,0,0,0,0
South West Khasi Hills,106.61,0,0,0,0
West Garo Hills,35.99,0,0,0,0
West Jaintia Hills,2643.59,2,0.87,2,0.87
West Khasi Hills,383.45,0,0,0,0
