District,Inactive BC,Active Rupay Card in PMJDY,First Time Active Rupay Card,Aadhaar Authenticated Sb Accounts,Rupay Card Issued in KCC
East Garo Hills,4,23285,22821,1494,1091
East Jaintia Hills,5,9729,5351,2563,18
East Khasi Hills,2,84513,65797,44955,6135
North Garo Hills,0,40680,40588,178,1491
Ri Bhoi,0,31576,26246,4996,9382
South Garo Hills,2,11473,10773,85,109
South West Garo Hills,0,29093,28534,1707,1105
South West Khasi Hills,0,12611,3608,96,180
West Garo Hills,6,113316,110509,7495,1232
West Jaintia Hills,0,22537,16979,2391,1159
West Khasi Hills,0,19182,13885,2765,4155
