District,Operative CASA,Aadhaar Seeded CASA,Authenticated CASA
East Garo Hills,74026,3128,3056
East Jaintia Hills,78610,2939,3160
East Khasi Hills,831398,112567,144177
North Garo Hills,90762,491,543
Ri Bhoi,186439,9378,13140
South Garo Hills,41829,474,794
South West Garo Hills,101846,2499,2299
South West Khasi Hills,57915,1846,2000
West Garo Hills,346174,12958,10934
West Jaintia Hills,172235,3469,9398
West Khasi Hills,189929,7975,4207
