District,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt
East Garo Hills,196,220.02,40,55.96,5,31.86,1,5.97,0,0
East Jaintia Hills,175,342.24,84,127.51,13,120.66,2,43.54,2,13.47
East Khasi Hills,6035,7513.56,955,2524.44,275,6240.14,63,2139.95,18,3044.24
North Garo Hills,70,84.44,27,23.11,0,0,0,0,0,0
Ri Bhoi,1156,2348.87,263,618.48,111,3062.06,27,753.41,17,1223.39
South Garo Hills,82,55.36,59,45.49,0,0,0,0,0,0
South West Garo Hills,184,202.03,156,172.73,8,9.89,3,2.47,0,0
South West Khasi Hills,31,38.92,56,60.43,2,16.21,0,4.05,0,0
West Garo Hills,1091,1287.49,302,503.37,115,639.47,33,207.03,1,95
West Jaintia Hills,899,940.99,277,364.78,110,750.97,26,151.29,0,0
West Khasi Hills,603,440.43,228,283.83,8,87.94,2,14.74,0,0
