District,Total Agri NPA Amt (PS),Total Agri NPA No. (PS),Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Term Loan Amt,Term Loan No.,Crop Amt,Crop No.
East Garo Hills,1158.86,3178,12.94,11,367.08,1365,16.22,43,762.62,1759
East Jaintia Hills,204.73,528,24.22,18,110.17,413,38.17,47,32.17,50
East Khasi Hills,3876.41,6073,270.64,114,1078.15,813,205.44,330,2322.18,4816
North Garo Hills,1805.7,4523,24.49,14,471.66,1709,0.17,1,1309.38,2799
Ri Bhoi,8192.91,15534,121.49,109,408.22,1793,150.72,586,7512.48,13046
South Garo Hills,558.81,2274,13.47,15,237.28,1291,33.84,73,274.22,895
South West Garo Hills,2346.8,5064,7.6,5,1079.34,1912,11.17,42,1248.69,3105
South West Khasi Hills,162.79,424,0,0,24.37,119,4.58,7,133.84,298
West Garo Hills,2939.72,8148,90.6,47,577.08,2782,114.34,307,2157.7,5012
West Jaintia Hills,1101.99,2089,123.67,90,125.44,348,21.26,34,831.62,1617
West Khasi Hills,1934.33,3502,0,0,77.45,455,26.57,44,1830.31,3003
