District,Total Agri O/S Amt,Total Agri O/S No.,Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Farm Term Loan Credit Amt,Farm Term Loan Credit No.,Farm Crop Credit Amt,Farm Crop Credit No.
Eastern West Khasi Hills,4627.17,7541,44.84,55,889.59,227,207.3,494,3485.44,6765
East Garo Hills,5548.37,5062,122.79,188,3723.04,1797,64.42,97,1638.12,2980
East Jaintia Hills,4709.81,2613,145.79,129,3504.01,993,273.94,295,786.07,1196
East Khasi Hills,123038.98,28467,4318.76,777,101393.03,1489,3010.15,4241,14317.04,21960
North Garo Hills,3805.85,5860,59.5,63,1753.83,1851,37.13,42,1955.39,3904
Ri Bhoi,25272.32,34131,882.95,782,5112.3,2387,1340.56,2738,17936.51,28224
South Garo Hills,3078.28,3273,84.98,94,1889.03,1355,131.45,177,972.82,1647
South West Garo Hills,4740.1,7586,58.75,47,2353.29,2476,278.09,763,2049.97,4300
South West Khasi Hills,2362.81,2836,85.34,78,849.64,306,105.5,138,1322.33,2314
West Garo Hills,12976.12,14027,619.8,244,7206.59,3486,748.9,2408,4400.83,7889
West Jaintia Hills,18076.01,6582,947.13,186,13307.49,633,786.87,1134,3034.52,4629
West Khasi Hills,6029.97,7298,116.46,224,2135.79,917,60.21,73,3717.51,6084
