District,ST Outstanding Amt,ST Outstanding No.,ST Disbursement Amt,ST Disbursement No.,SC Outstanding Amt,SC Outstanding No.,SC Disbursement Amt,SC Disbursement No.
Eastern West Khasi Hills,41633.64,33643,10215.57,6590,4068.47,1211,1754.12,340
East Garo Hills,5796.42,3605,1000.93,505,112.96,30,33.38,10
East Jaintia Hills,22145.44,13690,4819.68,2516,345.92,124,141.69,29
East Khasi Hills,507001.53,136407,77368.71,30880,10312.42,5164,4061.11,1486
North Garo Hills,37087.21,14297,46331.13,2643,5285.3,1076,411,131
Ri Bhoi,40808.35,29933,11389.74,7113,4091.45,1168,1719.67,364
South Garo Hills,4150.75,3262,695.22,361,23.21,12,18.3,4
South West Garo Hills,7735.85,5834,2025.93,751,254.02,80,124.69,24
South West Khasi Hills,4677.13,3408,1448.74,1025,48.42,13,30.72,2
West Garo Hills,25423.88,14849,6986.97,2547,1092.92,312,444.33,104
West Jaintia Hills,58135.06,24582,11497.05,5190,6935.85,1457,1366.16,207
West Khasi Hills,16797.02,12070,4463.83,2703,289.16,64,102.78,16
