district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Chumoukedima,101.98,40,212,508.06,150.80,111.25,60,18.16,612.77,265,28.19,288,1567
Dimapur,244.51,63,262,506.83,308.89,65.44,59,4.00,1634.76,550,104.38,311,1774
Kiphire,2.00,2,74,88.76,78.78,12.63,8,13.31,94.92,89,11.92,300,1005
Kohima,51.57,23,118,197.70,280.84,59.10,42,11.57,510.94,383,58.74,340,2337
Longleng,3.49,3,0,0.00,47.44,0.00,0,0.00,12.18,27,47.44,292,292
Mokokchung,91.79,40,522,723.27,302.97,147.24,144,6.42,2291.70,1229,46.54,448,2201
Mon,22.50,16,191,186.17,183.92,31.82,44,16.61,191.61,196,51.55,827,2155
Niuland,17.00,5,299,593.79,87.83,142.81,88,20.95,681.61,369,2.85,42,1096
Noklak,1.00,1,0,0.00,5.80,0.00,0,0.00,4.36,7,5.80,114,114
Peren,142.65,70,27,34.51,79.66,8.30,7,3.56,232.97,194,26.01,153,659
Phek,8.90,3,153,169.27,329.59,37.48,39,12.28,305.12,273,169.75,684,2061
Shamator,6.00,6,13,12.12,22.17,0.00,0,0.00,14.22,17,15.69,140,194
Tseminyu,0.00,0,23,16.73,139.13,4.21,4,7.32,57.52,59,85.87,294,742
Tuensang,3.00,3,82,95.10,167.39,14.22,26,10.52,135.15,139,72.22,664,1680
Wokha,47.10,18,152,206.89,118.72,24.64,41,6.82,361.43,270,51.85,284,1040
Zunheboto,16.04,9,103,118.96,194.19,25.81,28,16.78,153.82,148,123.29,455,1267
