district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,4.00,3,0.06,3,0.00,0,0.00,63.00,40
Dimapur,81.98,33,0.62,1,5.44,5,0.77,703.52,170
Kiphire,4.50,2,0.00,0,1.80,3,4.51,39.88,37
Kohima,24.40,14,7.94,12,5.56,6,2.80,198.32,202
Longleng,2.00,3,0.93,3,0.00,0,0.00,17.89,29
Mokokchung,90.26,42,0.14,5,12.78,18,0.95,1350.03,662
Mon,3.50,3,0.02,2,6.73,10,6.82,98.63,117
Niuland,17.00,5,0.00,0,0.00,0,0.00,82.73,64
Noklak,0.00,0,0.00,0,0.00,0,0.00,0.25,5
Peren,0.00,0,0.13,2,0.00,0,0.00,170.39,73
Phek,2.50,1,0.05,1,1.40,2,2.67,52.51,36
Shamator,3.00,3,0.00,0,0.00,0,0.00,4.33,7
Tseminyu,0.00,0,0.00,0,0.00,0,0.00,9.59,5
Tuensang,1.00,1,0.07,3,1.60,1,12.05,13.28,36
Wokha,24.40,10,0.00,0,5.58,7,4.61,121.08,119
Zunheboto,3.70,1,0.00,0,2.90,4,5.04,57.57,66
