district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Chumoukedima,32.62,16,256.66,72,602.53,120,5244.18,1180
Dimapur,394.76,119,1757.31,897,4855.51,1460,54886.60,18235
Kiphire,11.91,1,19.07,2,0.00,0,11.80,6
Kohima,38.92,15,406.97,147,4186.52,1110,34183.42,10345
Longleng,0.00,0,10.42,2,30.00,1,57.42,5
Mokokchung,32.35,16,246.08,86,2736.26,1126,11603.91,4305
Mon,0.00,0,87.76,30,295.91,79,2788.62,895
Niuland,0.00,0,0.15,1,38.46,15,258.10,233
Noklak,0.69,1,6.69,2,0.00,0,12.60,2
Peren,3.56,4,20.27,6,11.70,3,147.59,23
Phek,0.00,1,46.65,10,13.43,11,482.94,121
Shamator,0.00,0,0.28,1,6.06,10,121.31,45
Tseminyu,0.63,1,4.64,2,104.76,22,806.74,244
Tuensang,4.68,3,76.34,12,1.00,1,53.99,8
Wokha,3.42,3,66.68,20,197.33,131,1896.60,900
Zunheboto,0.75,1,91.19,19,213.88,32,1074.10,366
