district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Chumoukedima,2618,699.47,2468878,50079.38,186336,19616.94,39944,2151.09,27899,153757.22,49909,1389.45
Dimapur,6581,1737.85,4248642,97680.80,2971819,151319.26,287687,16647.50,271481,977941.96,104305,2975.94
Kiphire,0,0.00,373460,8132.12,13,0.62,1063,61.32,21,0.12,2773,74.60
Kohima,3082,582.65,2532963,57387.10,838003,47227.98,140130,9534.58,59800,543295.89,64062,2083.31
Longleng,0,0.00,255474,5558.42,8,2.71,1,0.01,9,0.05,1652,50.12
Mokokchung,463,75.65,1260232,28603.81,294035,11136.84,45457,1949.55,11647,48318.33,18533,569.14
Mon,54,8.84,1048709,20889.52,17304,5220.11,7594,783.45,2814,33752.07,8714,231.20
Niuland,0,0.00,111763,1825.19,1,1.92,1997,112.13,2,0.03,929,26.92
Noklak,0,0.00,116267,2261.05,0,0.00,2,0.01,0,0.00,739,16.91
Peren,0,0.00,512631,9272.27,316,13.71,705,28.93,92,6.94,5038,143.06
Phek,0,0.00,722443,15935.31,3885,162.02,2038,89.24,7,0.06,7105,208.34
Shamator,0,0.00,49933,1377.02,11,3.59,908,21.32,0,0.00,362,8.96
Tseminyu,0,0.00,163256,2740.39,21593,457.39,3731,113.32,1679,267.73,2102,55.14
Tuensang,0,0.00,700259,15825.56,22,24.91,3788,199.45,11,0.26,7078,213.01
Wokha,525,91.78,963060,19784.05,92132,7199.17,10758,778.59,4327,47237.83,10034,289.61
Zunheboto,68,7.84,624948,13459.73,1926,2728.79,5681,644.34,656,37542.77,8335,279.69
