district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Chumoukedima,13,7,1,79,2,81,6,10,0,21,16
Dimapur,47,61,42,112,131,245,2,13,38,150,53
Kiphire,3,1,0,14,0,14,1,2,0,4,3
Kohima,35,57,1,43,8,51,9,34,1,93,44
Longleng,0,3,0,14,0,14,2,0,0,3,2
Mokokchung,7,24,0,17,3,20,14,10,1,31,25
Mon,3,4,0,66,0,66,6,4,0,7,10
Niuland,2,1,0,3,0,3,2,1,0,3,3
Noklak,1,1,0,2,0,2,1,0,0,2,1
Peren,5,1,0,26,0,26,4,1,0,6,5
Phek,8,1,0,20,0,20,5,4,0,9,9
Shamator,1,0,0,9,0,9,1,1,0,1,2
Tseminyu,2,1,0,1,0,1,2,1,0,3,3
Tuensang,0,7,0,53,0,53,5,1,0,7,6
Wokha,3,12,0,33,9,42,6,8,0,15,14
Zunheboto,3,7,0,13,0,13,7,4,0,10,11
