district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Chumoukedima,54884,14494,3,15540,842
Dimapur,147744,21438,141,70010,1590
Kiphire,20830,11606,5,11606,658
Kohima,96883,10121,13,20700,679
Longleng,14508,11283,5,11283,99
Mokokchung,78376,11484,7,15010,1538
Mon,66899,31865,4,32919,341
Niuland,10070,1961,0,2025,310
Noklak,5981,2801,2,2801,13
Peren,21367,9029,2,9029,1486
Phek,43417,10896,5,11194,1053
Shamator,2223,2363,0,2729,48
Tseminyu,8348,1184,1,1158,151
Tuensang,27278,22382,5,22382,401
Wokha,39642,8241,2,9648,448
Zunheboto,31246,8841,2,9402,632
