district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Chumoukedima,962.08,10971,8242,7992,16954,956,9319,7439,19213,11222
Dimapur,1674952.13,48890,38781,57056,74628,13301,38105,8690,87671,82775
Kiphire,398.60,8184,7418,9220,13028,1535,9048,5998,15602,9609
Kohima,1126.97,14506,11743,13732,18762,5067,11254,14963,26249,8072
Longleng,322.12,8375,7002,9990,19892,317,10066,15377,15377,0
Mokokchung,1453.84,17210,16315,20045,25148,5851,7726,14781,33525,12235
Mon,1493.37,25937,25285,28726,40179,6218,28534,20801,51222,30431
Niuland,83.78,1903,1537,2660,1840,343,1649,3361,3440,80
Noklak,158.15,2868,2846,1864,5444,19,1908,5714,5714,0
Peren,456.07,9170,7094,8990,16558,208,7028,16245,16264,22
Phek,1070.06,12614,10519,14961,20130,2530,7735,11716,23133,11423
Shamator,81.52,1950,1811,1280,3398,361,2410,3749,3761,12
Tseminyu,120.00,1509,869,1755,2021,266,750,2291,2378,87
Tuensang,750.18,14545,14075,9704,26318,1952,17754,3836,28620,24787
Wokha,570.49,9396,5837,7746,12900,873,6131,6103,15233,7175
Zunheboto,417.52,9599,9818,6792,13437,4631,5443,14959,19417,4459
