district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,51.32,15,85.58,22,33.21,8,11.92,278.50,107
Dimapur,172.50,55,329.72,35,1024.11,351,28.33,3615.47,757
Kiphire,0.00,0,164.52,57,71.13,33,9.64,737.50,332
Kohima,141.16,53,162.81,36,502.16,189,27.93,1798.22,573
Longleng,0.00,0,12.49,4,4.42,5,1.31,337.60,189
Mokokchung,17.97,10,66.73,9,32.92,46,3.26,1010.80,199
Mon,11.92,6,84.75,22,13.56,8,1.31,1031.54,390
Niuland,47.30,15,0.00,0,3.23,1,3.62,89.22,29
Noklak,0.00,0,0.00,0,19.08,10,13.03,146.44,79
Peren,8.11,3,129.66,47,195.21,88,32.39,602.67,261
Phek,123.01,41,517.26,169,523.09,195,37.04,1412.42,515
Shamator,0.00,0,15.98,6,0.00,0,0.00,34.03,15
Tseminyu,5.00,1,0.00,0,0.00,0,0.00,14.67,9
Tuensang,0.00,0,100.31,32,3.24,3,0.43,745.51,316
Wokha,14.82,8,130.15,35,15.04,20,2.23,673.68,179
Zunheboto,0.00,0,134.29,43,60.93,29,6.73,905.80,358
