district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Chumoukedima,30.00,6,328.13,64,0.00,0,53.91,51,1.44,6,413.48,127,0.00,0
Dimapur,0.35,10,3743.02,1668,88.45,19,1740.32,335,57.39,45,5629.53,2077,0.00,0
Kiphire,0.00,0,0.00,0,0.00,0,10.93,14,0.77,2,11.70,16,0.00,0
Kohima,40.95,9,2016.47,773,0.00,0,283.28,111,1.04,13,2341.74,906,0.00,0
Longleng,0.00,0,0.00,0,0.00,0,98.91,21,0.00,0,98.91,21,0.00,0
Mokokchung,0.00,1,313.48,188,0.00,0,25.65,22,0.00,1,339.13,212,0.00,0
Mon,0.00,0,375.43,109,0.00,0,73.94,48,0.00,2,449.37,159,0.00,0
Niuland,0.00,0,38.46,15,0.00,0,0.00,0,0.00,0,38.46,15,0.00,0
Noklak,0.00,0,0.00,0,0.00,0,1.42,2,0.00,0,1.42,2,0.00,0
Peren,0.00,1,0.00,0,0.00,0,3.90,11,1.00,1,4.90,13,0.00,0
Phek,0.00,0,6.95,7,0.00,0,23.40,22,13.85,2,44.20,31,0.00,0
Shamator,10.00,1,6.00,9,0.00,0,63.56,9,0.00,0,79.56,19,0.00,0
Tseminyu,0.00,0,0.00,0,0.00,0,29.51,12,0.00,0,29.51,12,0.00,0
Tuensang,0.00,1,0.00,0,0.00,0,32.33,20,0.46,2,32.79,23,0.00,0
Wokha,0.00,3,200.34,113,0.00,0,65.12,19,0.00,2,265.46,137,0.00,0
Zunheboto,0.00,3,298.07,50,0.00,0,0.01,20,0.00,2,298.08,75,0.00,0
