district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Chumoukedima,35931.47,43818.34,241.04,82.51,75.74,,43547.96,57854.17,0.00,78.88,79990.85,101402.13
Dimapur,20474.51,55576.13,259951.64,76.15,75.21,55.69,26886.26,73899.39,466761.27,59.20,336002.28,567546.92
Kiphire,3213.10,12860.88,12.83,233.09,137.82,,1378.46,9331.88,0.00,150.20,16086.81,10710.34
Kohima,16186.83,167370.50,3110.21,53.79,29.44,96.37,30091.43,568534.95,3227.50,31.02,186667.54,601853.88
Longleng,10880.77,69.09,0.00,162.68,,,6688.31,0.00,0.00,163.72,10949.86,6688.31
Mokokchung,23084.22,53512.00,78.83,77.85,85.41,,29651.99,62651.21,0.00,83.07,76675.05,92303.20
Mon,13083.84,19584.78,28.87,107.59,80.04,,12161.18,24467.91,0.00,89.27,32697.49,36629.09
Niuland,9914.10,4039.66,0.00,179.58,121.58,,5520.77,3322.74,0.00,157.79,13953.76,8843.51
Noklak,2693.83,26.67,9.89,57.74,99.14,,4665.74,26.90,0.00,58.18,2730.39,4692.64
Peren,18926.76,1568.94,54.40,147.98,72.02,,12790.14,2178.56,0.00,137.29,20550.10,14968.70
Phek,12383.37,17446.65,35.05,86.31,106.35,,14347.83,16404.98,0.00,97.11,29865.07,30752.81
Shamator,2260.29,77.35,66.64,161.87,,,1396.40,0.00,0.00,172.18,2404.28,1396.40
Tseminyu,6791.83,717.31,0.00,105.62,32.78,,6430.48,2188.36,0.00,87.12,7509.14,8618.84
Tuensang,4482.45,27629.57,0.00,155.84,130.29,,2876.25,21206.09,0.00,133.34,32112.02,24082.34
Wokha,6849.14,23726.03,64.56,99.62,68.53,,6874.94,34621.00,0.00,73.84,30639.73,41495.94
Zunheboto,9010.46,26228.86,86.61,82.52,156.14,,10919.54,16798.00,0.00,127.45,35325.93,27717.54
