district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Dimapur,221.25,23,8027.09,9304,280.75,20,1014.83,588,109.21,43,9653.13,9978,0.00,0
Kiphire,0.00,0,0.00,0,0.00,0,3.00,1,21.60,2,24.60,3,0.00,0
Kohima,12.33,10,4798.79,3902,0.00,1,199.48,81,56.99,18,5067.59,4012,0.00,0
Longleng,0.00,0,0.00,0,0.00,0,26.50,7,0.00,0,26.50,7,0.00,0
Mokokchung,1.64,3,664.06,278,7.00,1,28.80,21,1.60,7,703.10,310,0.00,0
Mon,0.00,1,558.09,120,0.00,0,44.34,31,0.00,0,602.43,152,0.00,0
Peren,9.90,1,0.00,0,0.00,0,14.80,9,0.00,1,24.70,11,0.00,0
Phek,12.00,1,0.00,0,0.00,0,80.11,21,0.00,0,92.11,22,0.00,0
Tuensang,0.00,0,0.00,0,0.00,0,30.69,15,0.10,2,30.79,17,0.00,0
Wokha,0.00,0,459.83,316,0.00,0,99.54,23,5.74,5,565.11,344,0.00,0
Zunheboto,1.50,3,159.71,46,0.00,0,9.57,8,0.48,3,171.26,60,0.00,0
