district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Dimapur,179987,57072,1775018,79441,4705
Kiphire,15701,15417,492784,15417,428
Kohima,108455,15349,679124,23919,2090
Longleng,12047,16041,440272,16041,122
Mokokchung,70005,20947,735614,28608,2901
Mon,51494,40795,1181696,40795,186
Peren,19259,16474,343834,16474,1440
Phek,40240,22634,965566,22634,1100
Tuensang,32051,40519,922760,40519,942
Wokha,33369,11916,200727,14066,2199
Zunheboto,24078,13269,355914,13733,618
