district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Dimapur,12652.50,50943,39365,55163,84020,10753,60652,21504,90308,64508
Kiphire,303.06,7993,7575,9304,14136,1577,11988,5869,15568,9705
Kohima,2504.10,12327,9596,18444,18205,6634,13439,8381,21923,11180
Longleng,339.24,8791,7776,8921,18330,988,14540,16433,16567,135
Mokokchung,774.19,15625,14288,17225,27025,4617,19032,12310,29913,17442
Mon,838.74,21828,20324,17929,40571,2433,37822,13338,42152,28823
Peren,420.63,9070,7163,8337,17040,160,12996,16212,16233,22
Phek,892.15,12326,10573,14134,20844,2023,17811,11152,22899,11752
Tuensang,757.97,18013,18328,10406,35617,2215,31583,9881,36341,26462
Wokha,435.59,8802,5409,6450,13226,1245,19961,4962,14211,8133
Zunheboto,346.15,8570,9636,8483,13581,4726,8346,14094,18206,4112
