district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Dimapur,339,74.95,4883604,146714.36,191714249,8988073.69,287830,10807.80,44502337,8758029.45,1305142,22610.70
Kiphire,0,0.00,285176,8664.34,0,0.00,7566,255.41,1,0.05,44693,736.27
Kohima,258,5.49,2159010,56426.06,45162697,2046860.74,105878,5188.11,14081737,2591293.17,697624,10437.96
Longleng,0,0.00,248344,7919.34,0,0.00,20,0.37,23,0.33,32787,412.32
Mokokchung,9,0.00,1041063,28346.68,18324633,588587.35,40119,1090.26,6343156,1523693.67,295687,3203.75
Mon,9,0.04,918990,22555.81,600,0.00,14427,271.98,4,0.08,138231,1543.68
Peren,0,0.00,340512,7342.48,0,0.00,1407,53.39,34,1.15,82093,1473.41
Phek,0,0.00,565823,14979.80,0,0.00,9632,323.98,1,0.15,133191,1709.39
Tuensang,0,0.00,789272,21561.56,0,0.00,11948,495.19,5,0.18,114696,1360.44
Wokha,7,0.00,815021,18596.70,4370,63.91,9819,553.88,197,30.50,161077,1791.70
Zunheboto,11,0.00,501202,13658.66,0,0.00,16529,452.06,8,0.22,112026,1512.61
