district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Dimapur,592.85,537,1847.85,1063,8098.85,8508,49082.35,22138
Kiphire,8.50,1,8.26,1,33.25,4,31.84,4
Kohima,51.59,37,257.73,101,4834.31,3218,24800.62,11210
Longleng,7.00,1,25.81,4,0.00,0,3.15,1
Mokokchung,22.07,5,133.51,29,467.31,234,7320.26,3811
Mon,17.90,5,54.01,14,602.37,129,2057.79,779
Peren,0.00,0,9.57,1,35.05,7,51.99,11
Phek,83.60,9,86.14,12,118.58,16,154.65,23
Tuensang,23.05,5,31.43,7,44.65,7,55.35,10
Wokha,7.54,3,78.86,33,425.92,90,1482.96,1045
Zunheboto,23.61,6,38.07,16,181.54,58,1096.33,543
