district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Dimapur,14,110,22,59,11,72,12,28,24,146,64
Kiphire,0,3,0,13,0,13,1,2,0,3,3
Kohima,8,80,2,20,2,26,11,32,2,90,45
Longleng,3,0,0,6,5,11,1,0,0,3,1
Mokokchung,9,32,0,11,6,20,13,12,0,41,25
Mon,4,6,0,5,8,11,4,3,0,10,7
Peren,5,1,0,9,2,11,3,1,0,6,4
Phek,5,4,0,11,6,17,5,3,0,9,8
Tuensang,1,7,0,2,12,14,4,4,0,8,8
Wokha,2,13,0,0,3,5,5,7,0,15,12
Zunheboto,3,5,0,5,1,6,7,2,0,8,9
