district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,39.88,42,3.88,5,2.73,3,6.96,39.21,50
Kiphire,5.25,5,0.00,0,1.70,2,25.88,6.57,12
Kohima,40.45,35,0.11,2,2.10,2,6.17,34.03,42
Mokokchung,59.83,41,0.00,0,14.56,17,11.30,128.81,151
Mon,34.36,34,0.00,0,4.91,8,8.36,58.74,77
Peren,4.50,36,0.00,0,0.00,0,0.00,3.82,36
Phek,15.80,16,0.05,1,0.00,0,0.00,15.07,18
Tuensang,0.00,0,0.00,0,1.30,1,44.83,2.90,5
Wokha,56.90,47,0.09,2,4.56,5,6.56,69.56,68
Zunheboto,9.90,8,0.00,0,4.76,4,30.99,15.36,18
