district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Dimapur,44114.70,155473.55,100775.80,82.74,49.56,38.85,53317.31,313687.17,259421.40,47.95,300364.05,626425.88
Kiphire,1946.55,9635.37,0.00,164.99,104.34,,1179.83,9234.78,0.00,111.21,11581.92,10414.61
Kohima,15812.55,117316.85,4270.00,47.38,20.91,94.85,33374.03,561087.66,4502.00,22.94,137399.40,598963.69
Longleng,7306.31,0.00,0.00,110.25,,,6626.85,0.00,0.00,110.25,7306.31,6626.85
Mokokchung,13957.90,46736.33,0.00,88.52,80.95,,15767.49,57733.40,0.00,82.58,60694.23,73500.89
Mon,6019.70,14158.36,0.00,76.96,66.70,,7821.89,21227.05,0.00,69.46,20178.06,29048.94
Peren,12927.95,1603.82,0.00,99.13,85.11,,13041.21,1884.31,0.00,97.36,14531.77,14925.52
Phek,8703.63,13202.37,0.00,70.43,70.82,,12357.08,18641.42,0.00,70.67,21906.00,30998.50
Tuensang,5136.64,23581.64,0.00,95.02,120.11,,5405.88,19633.29,0.00,114.69,28718.28,25039.17
Wokha,4618.31,19865.60,0.00,76.32,73.05,,6051.15,27193.10,0.00,73.65,24483.91,33244.25
Zunheboto,8997.16,16496.38,0.00,75.28,128.00,,11951.30,12887.59,0.00,102.64,25493.54,24838.89
